word,neg_score,pos_score,label
ungodliness,0.625,0.25,0
inadmissibility,0.75,0.125,0
disorganise,0.0,0.0,2
unyoke,0.0,0.0,2
unconscientiousness,0.375,0.5,2
unjustly,0.0,0.125,2
unorthodox,0.0,0.0,2
unhelpfully,0.0,0.25,2
indecisive,0.375,0.375,2
spiritless,0.0,0.0,2
nonspecific,0.0,0.0,2
inopportune,0.0,0.0,2
nonaligned,0.0,0.0,2
noninstitutional,0.125,0.0,2
underhand,0.0,0.0,2
nonmagnetic,0.625,0.0,0
nonreticulate,0.0,0.0,2
counterclockwise,0.0,0.0,2
unequivocal,0.375,0.25,2
noninvasive,0.625,0.0,0
uneven,0.0,0.0,2
desecrated,0.0,0.0,2
uninsurability,0.25,0.25,2
noncombinative,0.0,0.0,2
uninflected,0.125,0.0,2
untranslatable,0.5,0.0,0
nonviolently,0.0,0.0,2
irresponsibly,0.0,0.5,1
unheaded,0.625,0.0,0
unrespectability,0.25,0.75,1
uncut,0.0,0.0,2
atonic,0.0,0.0,2
unsoured,0.625,0.0,0
azonal,0.25,0.125,2
keyless,0.0,0.0,2
fearlessly,0.0,0.0,2
unhygienically,0.0,0.25,2
tasteless,0.0,0.0,2
depersonalize,0.0,0.0,2
inhumanely,0.0,0.25,2
indecency,0.75,0.125,0
unpreventable,0.25,0.125,2
unreasonably,0.375,0.0,0
inadequacy,0.125,0.0,2
unpleasingness,0.75,0.125,0
disprove,0.0,0.0,2
discontinued,0.0,0.0,2
unmanageable,0.0,0.125,2
imperceptibility,0.125,0.0,2
defensively,0.0,0.125,2
unleaded_gasoline,0.75,0.0,0
divergency,0.0,0.0,2
unstuck,0.0,0.0,2
unliveried,0.125,0.125,2
nonpartisan,0.0,0.0,2
untangled,0.125,0.0,2
de-energize,0.0,0.0,2
impatiently,0.0,0.25,2
unstructured,0.0,0.125,2
uninquiring,0.0,0.0,2
unfortunately,0.875,0.0,0
disproportionate,0.0,0.0,2
nonmetallic,0.75,0.0,0
unorganized,0.75,0.0,0
unhitch,0.0,0.0,2
unscrew,0.0,0.0,2
