word,affix,label,hyphen
favorably,-,1,-
unconnectedness,un,0,un-connectedness
signed,-,1,-
ashamedly,-,1,-
self-consciously,-,1,-
virulent,-,1,-
certified,-,1,-
incorruptness,in,0,in-corruptness
charitable,-,1,-
imbalance,im,0,im-balance
unrelated,un,0,un-related
honorable,-,1,-
unbalance,un,0,un-balance
destructive,de,0,de-structive
listed_security,-,1,-
demonetization,de,0,de-monetization
unreverberant,un,0,un-reverberant
hospitably,-,1,-
obvious,-,1,-
unable,un,0,un-able
officially,-,1,-
comparably,-,1,-
informatively,-,1,-
divest,di,0,di-vest
combinative,-,1,-
action,-,1,-
illegitimate,il,0,il-legitimate
trained,-,1,-
incoming,-,1,-
inoperable,in,0,in-operable
ineffectiveness,in,0,in-effectiveness
well-defined,-,1,-
unextended,un,0,un-extended
immateriality,im,0,im-materiality
drained,-,1,-
complainingly,-,1,-
nonretractile,non,0,non-retractile
inedible,in,0,in-edible
unavenged,un,0,un-avenged
depress,de,0,de-press
effectively,-,1,-
cooperative,-,1,-
unequally,un,0,un-equally
competent,-,1,-
uneven,un,0,un-even
unearned_run,un,0,un-earned_run
unregretful,un,0,un-regretful
uselessness,less,0,use-lessness
pyretic,-,1,-
benevolence,-,1,-
buttoned,-,1,-
decently,-,1,-
dysgenics,dys,0,dys-genics
intolerance,in,0,in-tolerance
irresponsibly,ir,0,ir-responsibly
unhealthfulness,un,0,un-healthfulness
unapproachable,un,0,un-approachable
uncensored,un,0,un-censored
mobilise,-,1,-
returnable,-,1,-
associate,-,1,-
unmindfully,un,0,un-mindfully
psychoactive,-,1,-
bar,-,1,-
uncouple,un,0,un-couple
unwary,un,0,un-wary
infiniteness,in,0,in-finiteness
spinous,-,1,-
essentiality,-,1,-
credulously,-,1,-
unattractively,un,0,un-attractively
unsusceptible,un,0,un-susceptible
unpotted,un,0,un-potted
planned,-,1,-
intractable,in,0,in-tractable
nonequivalence,non,0,non-equivalence
insubordination,in,0,in-subordination
dissimilar,dis,0,dis-similar
extensile,-,1,-
undimmed,un,0,un-dimmed
indivisible,in,0,in-divisible
natural,-,1,-
encouraging,-,1,-
nonpregnant,non,0,non-pregnant
ungroomed,un,0,un-groomed
colonise,-,1,-
derequisition,de,0,de-requisition
defined,-,1,-
concealing,-,1,-
nonpasserine,non,0,non-passerine
unquiet,un,0,un-quiet
dysphemistic,dys,0,dys-phemistic
sincere,-,1,-
footless,less,0,foot-less
atypical,a,0,a-typical
join,-,1,-
intransitive,in,0,in-transitive
punctureless,less,0,puncture-less
unrefined,un,0,un-refined
disobedient,dis,0,dis-obedient
infamy,in,0,in-famy
azonal,a,0,a-zonal
illegitimately,il,0,il-legitimately
armament,-,1,-
discreet,-,1,-
noticed,-,1,-
unhappy,un,0,un-happy
irrelevant,ir,0,ir-relevant
divergent,di,0,di-vergent
hopelessly,less,0,hope-lessly
unmusical,un,0,un-musical
accessibility,-,1,-
inductive,-,1,-
onside,-,1,-
impersonally,im,0,im-personally
concealed,-,1,-
overhand,-,1,-
weaned,-,1,-
artless,less,0,art-less
unemotional_person,un,0,un-emotional_person
incorrectness,in,0,in-correctness
infallible,in,0,in-fallible
insulator,in,0,in-sulator
pretentious,-,1,-
unrecognizably,un,0,un-recognizably
criminalization,-,1,-
obedient,-,1,-
unshrinkable,un,0,un-shrinkable
directly,-,1,-
indispensableness,in,0,in-dispensableness
combustible,-,1,-
monetization,-,1,-
exchangeability,-,1,-
beneficence,-,1,-
dedicated_file_server,-,1,-
encourage,-,1,-
seedless,less,0,seed-less
disunify,dis,0,dis-unify
direct,-,1,-
perceptiveness,-,1,-
fledged,-,1,-
determinate,-,1,-
incredulously,in,0,in-credulously
discontinued,dis,0,dis-continued
contested,-,1,-
unimportant,un,0,un-important
awakened,-,1,-
inflationary_spiral,-,1,-
audibly,-,1,-
unsarcastic,un,0,un-sarcastic
unmyelinated,un,0,un-myelinated
unmanageably,un,0,un-manageably
gusseted,-,1,-
familiar,-,1,-
inhumaneness,in,0,in-humaneness
subsonic,sub,0,sub-sonic
invest,-,1,-
necked,-,1,-
scrupulousness,-,1,-
inflation,-,1,-
justifiably,-,1,-
syncategoreme,syn,0,syn-categoreme
noncyclic,non,0,non-cyclic
competitively,-,1,-
salable,-,1,-
twist,-,1,-
promote,-,1,-
inexpressively,in,0,in-expressively
interestingness,-,1,-
supervised,-,1,-
demonstrative,-,1,-
categorematic,-,1,-
unopposed,un,0,un-opposed
pleasing,-,1,-
wholesome,-,1,-
immotility,im,0,im-motility
unreserved,un,0,un-reserved
dethrone,de,0,de-throne
productively,-,1,-
unceremoniously,un,0,un-ceremoniously
hypotensive,hypo,0,hypo-tensive
headless,less,0,head-less
unpretentiousness,un,0,un-pretentiousness
implode,im,0,im-plode
centralization,-,1,-
disreputably,dis,0,dis-reputably
non-proliferation,non,0,non--proliferation
compatibility,-,1,-
gracefully,-,1,-
invariable,in,0,in-variable
undiversified,un,0,un-diversified
nonindulgent,non,0,non-indulgent
important,-,1,-
obtrusive,-,1,-
nonrandom,non,0,non-random
unpleasantly,un,0,un-pleasantly
productiveness,-,1,-
sensibility,-,1,-
unbridgeable,un,0,un-bridgeable
correctness,-,1,-
unlawful,un,0,un-lawful
incorruptibility,in,0,in-corruptibility
noncomprehensive,non,0,non-comprehensive
volatile,-,1,-
comprehensible,-,1,-
diverge,di,0,di-verge
unlikely,un,0,un-likely
useful,-,1,-
melted,-,1,-
nonintegrated,non,0,non-integrated
modulated,-,1,-
similitude,-,1,-
immaturity,im,0,im-maturity
unaccustomed,un,0,un-accustomed
undependably,un,0,un-dependably
audible,-,1,-
correct,-,1,-
insomnia,in,0,in-somnia
untied,un,0,un-tied
atypically,a,0,a-typically
translational,-,1,-
equipped,-,1,-
disorder,dis,0,dis-order
illogical,il,0,il-logical
bind,-,1,-
uncamphorated,un,0,un-camphorated
unprotective,un,0,un-protective
infinitely,in,0,in-finitely
undetermined,un,0,un-determined
tribalization,-,1,-
disrespectful,dis,0,dis-respectful
penetrability,-,1,-
