word,gold,pred
unyoke,2.0,1
unorthodox,2.0,0
nonmagnetic,2.0,0
counterclockwise,2.0,0
unequivocal,2.0,1
noninvasive,2.0,1
uneven,2.0,0
noncombinative,2.0,0
nonviolently,2.0,1
uncut,2.0,1
atonic,2.0,0
unsoured,1.0,0
unpreventable,2.0,0
disprove,2.0,0
discontinued,2.0,0
defensively,2.0,0
unleaded_gasoline,2.0,1
unstuck,2.0,1
unliveried,2.0,0
untangled,2.0,1
unstructured,2.0,0
uninquiring,2.0,0
unhitch,2.0,0
unscrew,2.0,0
unbutton,2.0,0
noncitizen,2.0,0
handleless,2.0,0
moonless,2.0,0
nonimitative,2.0,0
unlike,2.0,0
unmilitary,2.0,0
inviolable,2.0,1
insentience,2.0,0
hairlessness,2.0,0
nonphotosynthetic,2.0,0
decompression,2.0,1
ungathered,2.0,0
tubeless,2.0,1
unquietly,2.0,0
irregularly,2.0,0
undetermined,0.0,2
unreal,2.0,0
insectivorous,2.0,0
inaudibility,2.0,0
unsarcastic,2.0,1
unbodied,2.0,0
disengage,2.0,0
unsaponified,2.0,0
unframed,2.0,0
impermanent,2.0,0
disembark,2.0,0
disarm,2.0,0
demagnetise,2.0,0
dedifferentiate,2.0,0
hypertrophied,2.0,0
unclog,2.0,1
unextended,2.0,0
unadjusted,2.0,0
noninstitutionalized,2.0,1
discolor,2.0,0
unappendaged,2.0,0
unnoticeable,2.0,0
juiceless,2.0,0
unpublished,2.0,0
unpriestly,2.0,0
abranchiate,2.0,0
immeasurably,2.0,1
uncompartmented,2.0,0
hipless,2.0,0
achondritic,2.0,0
unprecedentedly,2.0,1
unpronounceable,2.0,0
inerrancy,2.0,1
inapplicability,2.0,0
unnoticed,2.0,0
nonbearing,2.0,0
immobile,2.0,0
outdoors,2.0,1
untraveled,2.0,0
unconfirmed,2.0,0
unscripted,2.0,1
revealing,2.0,1
unchain,2.0,1
nonalignment,2.0,0
nonexempt,2.0,0
unwire,2.0,0
trackless,2.0,0
informality,2.0,1
contraindication,2.0,0
unreported,2.0,0
immeasurable,2.0,1
deflate,2.0,0
unplug,2.0,0
unbelt,2.0,0
unassertive,2.0,0
unmask,2.0,1
unquestionable,2.0,1
deregulate,2.0,0
infiniteness,2.0,1
neckless,2.0,0
uncollected,2.0,0
inaudibly,2.0,0
unexploited,2.0,1
incomprehensibility,2.0,0
intense,2.0,1
hypoparathyroidism,2.0,0
unconsummated,2.0,0
uncomplaining,2.0,1
unconquerable,2.0,1
nonarboreal,2.0,0
uncharacteristic,2.0,0
unspell,2.0,0
disembarrassment,2.0,0
nonworker,2.0,0
unalike,2.0,0
unbuttoned,2.0,0
disenchant,2.0,0
nonstandard,2.0,0
unproved,2.0,0
smokeless,2.0,1
unprocessed,2.0,1
nonconformity,2.0,1
disavow,2.0,0
unaddicted,2.0,1
undetected,2.0,0
unobligated,2.0,1
unspaced,2.0,0
indistinct,2.0,0
unregistered,2.0,0
immobility,2.0,0
unwaxed,2.0,0
demobilize,2.0,0
unpainted,2.0,0
irremovable,2.0,0
immovability,2.0,0
backless,2.0,0
noncompetitive,2.0,0
unactable,2.0,0
unfretted,2.0,1
noninheritable,2.0,0
dethrone,2.0,0
incomparable,2.0,1
divest,2.0,0
nonmember,2.0,0
unobvious,2.0,0
unnaturally,2.0,0
unshod,2.0,0
immortality,2.0,1
unpremeditated,0.0,2
intransitive,2.0,0
detribalisation,2.0,0
disproportionately,2.0,0
unrequested,2.0,0
insatiate,2.0,0
unsaddled,2.0,0
unmoved,0.0,2
unemotional_person,2.0,0
unrevived,2.0,0
noncurrent,2.0,0
non-involvement,2.0,0
inhibitor,2.0,0
subsonic,2.0,0
decentralizing,2.0,1
weedless,2.0,1
incongruent,2.0,0
invisibility,2.0,1
hypertonic,2.0,0
unpotted,2.0,0
unmanned,2.0,0
tongueless,2.0,0
unplowed,2.0,0
hatless,2.0,0
unearned_run,2.0,0
unstained,2.0,1
uncharacteristically,2.0,0
depressurize,2.0,1
unbridle,2.0,0
detribalization,2.0,0
irresolutely,2.0,0
noninterference,2.0,1
divergent_thinking,2.0,1
nondisposable,2.0,1
impermissibly,2.0,0
unawed,2.0,0
unclothed,2.0,0
unveiled,2.0,1
seedless,2.0,0
noncommissioned,2.0,0
inactivate,2.0,0
desynchronizing,2.0,0
supersonic,2.0,1
wigless,2.0,0
indispensability,2.0,1
uncompromising,2.0,0
unmusically,2.0,0
unbalconied,2.0,0
immaterial,0.0,2
inconclusiveness,2.0,0
nonharmonic,2.0,0
inconclusively,2.0,0
