word,neg_score,pos_score,label,checked
conformity,0.0,0.0,2,unchecked
tracked,0.0,0.0,2,unchecked
ungodliness,0.625,0.25,0,checked
inadmissibility,0.75,0.125,0,checked
aggrade,0.0,0.0,2,unchecked
disorganise,0.0,0.0,0,checked
unyoke,0.0,0.0,2,checked
unconscientiousness,0.375,0.5,0,checked
assertively,0.0,0.25,2,unchecked
unjustly,0.0,0.125,0,checked
militarize,0.0,0.0,2,unchecked
unorthodox,0.0,0.0,2,checked
pretentious,0.125,0.375,2,unchecked
unhelpfully,0.0,0.25,0,checked
indecisive,0.375,0.375,0,checked
accelerate,0.0,0.0,2,unchecked
confirmed,0.0,0.0,2,unchecked
spiritless,0.0,0.0,0,checked
inspiring,0.0,0.0,2,unchecked
destructibility,0.5,0.0,0,unchecked
nonspecific,0.0,0.0,2,checked
inopportune,0.0,0.0,0,checked
nonaligned,0.0,0.0,2,checked
noninstitutional,0.125,0.0,2,checked
desirous,0.0,0.375,1,unchecked
underhand,0.0,0.0,0,checked
nonmagnetic,0.625,0.0,2,checked
diplomatic,0.0,0.0,2,unchecked
nonreticulate,0.0,0.0,2,checked
counterclockwise,0.0,0.0,2,checked
tapped,0.0,0.0,2,unchecked
unequivocal,0.375,0.25,2,checked
noninvasive,0.625,0.0,2,checked
corporeal,0.0,0.0,2,unchecked
ceremoniously,0.0,0.25,2,unchecked
sexy,0.0,0.0,2,unchecked
lubricated,0.0,0.0,2,unchecked
uneven,0.0,0.0,2,checked
photosynthetic,0.0,0.0,2,unchecked
compromising,0.0,0.0,2,unchecked
desecrated,0.0,0.0,0,checked
fearfully,0.0,0.0,2,unchecked
uninsurability,0.25,0.25,0,checked
noncombinative,0.0,0.0,2,checked
uninflected,0.125,0.0,2,checked
symmetrical,0.0,0.0,2,unchecked
orient,0.0,0.0,2,unchecked
obvious,0.0,0.5,1,unchecked
established,0.0,0.0,2,unchecked
humaneness,0.25,0.25,2,unchecked
capability,0.125,0.625,1,unchecked
untranslatable,0.5,0.0,2,checked
exploited,0.0,0.0,2,unchecked
beaked,0.0,0.0,2,unchecked
Anglican,0.0,0.0,2,unchecked
nonviolently,0.0,0.0,2,checked
surmountable,0.0,0.5,1,unchecked
irresponsibly,0.0,0.5,0,checked
unheaded,0.625,0.0,0,checked
equivalence,0.0,0.0,2,unchecked
reducible,0.0,0.625,1,unchecked
unrespectability,0.25,0.75,0,checked
balance,0.0,0.0,2,unchecked
conspicuous,0.0,0.75,1,unchecked
uncut,0.0,0.0,2,checked
atonic,0.0,0.0,2,checked
leaded_gasoline,0.0,0.0,2,unchecked
congenial,0.0,0.0,2,unchecked
unsoured,0.625,0.0,1,checked
azonal,0.25,0.125,2,checked
keyless,0.0,0.0,2,checked
arm,0.0,0.0,2,unchecked
fearlessly,0.0,0.0,1,checked
just,0.0,0.0,2,unchecked
observance,0.0,0.0,2,unchecked
violent,0.0,0.0,2,unchecked
savory,0.0,0.125,2,unchecked
unhygienically,0.0,0.25,0,checked
tasteless,0.0,0.0,0,checked
agitated,0.0,0.0,2,unchecked
depersonalize,0.0,0.0,0,checked
inhumanely,0.0,0.25,0,checked
indecency,0.75,0.125,0,checked
unpreventable,0.25,0.125,2,checked
unreasonably,0.375,0.0,0,checked
reversibility,0.25,0.25,2,unchecked
favorably,0.0,0.5,1,unchecked
conditioned,0.0,0.0,2,unchecked
inadequacy,0.125,0.0,0,checked
standard,0.0,0.0,2,unchecked
harmonious,0.0,0.75,1,unchecked
unpleasingness,0.75,0.125,0,checked
treated,0.0,0.0,2,unchecked
reliability,0.0,0.625,1,unchecked
disprove,0.0,0.0,2,checked
crystallized,0.0,0.0,2,unchecked
influential,0.0,0.125,2,unchecked
discontinued,0.0,0.0,2,checked
overachievement,0.0,0.25,2,unchecked
apologetic,0.625,0.0,0,unchecked
unmanageable,0.0,0.125,0,checked
hurriedly,0.0,0.125,2,unchecked
principled,0.0,0.0,2,unchecked
imperceptibility,0.125,0.0,2,checked
defensively,0.0,0.125,2,checked
perceptible,0.0,0.625,1,unchecked
efficacy,0.0,0.125,2,unchecked
faithful,0.0,0.375,1,unchecked
organized,0.0,0.0,2,unchecked
unleaded_gasoline,0.75,0.0,2,checked
divergency,0.0,0.0,2,checked
sonic,0.0,0.0,2,unchecked
felicitously,0.0,0.25,2,unchecked
unstuck,0.0,0.0,2,checked
participation,0.0,0.0,2,unchecked
juicy,0.0,0.0,2,unchecked
unliveried,0.125,0.125,2,checked
nonpartisan,0.0,0.0,2,checked
untangled,0.125,0.0,2,checked
forgivably,0.0,0.0,2,unchecked
de-energize,0.0,0.0,0,checked
impatiently,0.0,0.25,0,checked
unstructured,0.0,0.125,2,checked
involved,0.0,0.0,2,unchecked
uninquiring,0.0,0.0,2,checked
adequacy,0.375,0.25,2,unchecked
consummated,0.0,0.0,2,unchecked
market_economy,0.0,0.0,2,unchecked
unfortunately,0.875,0.0,0,checked
disproportionate,0.0,0.0,0,checked
nonmetallic,0.75,0.0,2,checked
effortful,0.0,0.0,2,unchecked
unorganized,0.75,0.0,0,checked
bend,0.0,0.0,2,unchecked
unhitch,0.0,0.0,2,checked
onside,0.0,0.0,2,unchecked
aphrodisia,0.0,0.625,1,unchecked
commodious,0.0,0.0,2,unchecked
unscrew,0.0,0.0,2,checked
connected,0.0,0.0,2,unchecked
uncommon,0.25,0.5,2,checked
compressible,0.0,0.5,1,unchecked
unbutton,0.0,0.0,2,checked
agree,0.0,0.0,2,unchecked
sociably,0.0,0.25,2,unchecked
noncitizen,0.0,0.0,2,checked
respectful,0.0,0.0,2,unchecked
handleless,0.0,0.0,2,checked
predictability,0.375,0.25,2,unchecked
indeterminable,0.625,0.125,2,checked
polished,0.0,0.0,2,unchecked
moonless,0.0,0.0,2,checked
nonimitative,0.75,0.0,2,checked
loyally,0.0,0.375,1,unchecked
fatty,0.0,0.0,2,unchecked
discernible,0.0,0.75,1,unchecked
unstableness,0.25,0.375,0,checked
inhospitably,0.0,0.25,0,checked
desirable,0.0,0.5,1,unchecked
statesmanlike,0.0,0.0,2,unchecked
moved,0.0,0.0,2,unchecked
articulate,0.0,0.0,2,unchecked
unlike,0.0,0.0,2,checked
carefully,0.0,0.0,2,unchecked
